id,identifier,pokemon_id,step_id,evolved_species_id,evolution_chain_id,is_split,evolution_trigger_id,regional,trigger_item_id,minimum_level,gender_id,location_id,held_item_id,time_of_day,known_move_id,known_move_type_id,minimum_happiness,minimum_beauty,minimum_affection,relative_physical_stats,party_species_id,party_type_id,trade_species_id,needs_overworld_rain,turn_upside_down
320,gardevoir,282,2,282,140,1,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
321,gallade,475,2,475,140,1,3.0,,109.0,,2.0,,,,,,,,,,,,,0.0,0.0
322,surskit,283,0,283,141,0,,,,,,,,,,,,,,,,,,,
323,masquerain,284,1,284,141,0,1.0,,,22.0,,,,,,,,,,,,,,0.0,0.0
324,shroomish,285,0,285,142,0,,,,,,,,,,,,,,,,,,,
325,breloom,286,1,286,142,0,1.0,,,23.0,,,,,,,,,,,,,,0.0,0.0
326,slakoth,287,0,287,143,0,,,,,,,,,,,,,,,,,,,
327,vigoroth,288,1,288,143,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
328,slaking,289,2,289,143,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
329,nincada,290,0,290,144,0,,,,,,,,,,,,,,,,,,,
330,ninjask,291,1,291,144,1,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
331,shedinja,292,1,292,144,1,4.0,,,,,,,,,,,,,,,,,0.0,0.0
332,whismur,293,0,293,145,0,,,,,,,,,,,,,,,,,,,
333,loudred,294,1,294,145,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
334,exploud,295,2,295,145,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
335,makuhita,296,0,296,146,0,,,,,,,,,,,,,,,,,,,
336,hariyama,297,1,297,146,0,1.0,,,24.0,,,,,,,,,,,,,,0.0,0.0
337,nosepass,299,0,299,147,0,,,,,,,,,,,,,,,,,,,
338,probopass,476,1,476,147,0,3.0,,83.0,,,,,,,,,,,,,,,0.0,0.0
339,skitty,300,0,300,148,0,,,,,,,,,,,,,,,,,,,
340,delcatty,301,1,301,148,0,3.0,,81.0,,,,,,,,,,,,,,,0.0,0.0
341,sableye,302,0,302,149,0,,,,,,,,,,,,,,,,,,,
342,mawile,303,0,303,150,0,,,,,,,,,,,,,,,,,,,
343,aron,304,0,304,151,0,,,,,,,,,,,,,,,,,,,
344,lairon,305,1,305,151,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
345,aggron,306,2,306,151,0,1.0,,,42.0,,,,,,,,,,,,,,0.0,0.0
346,meditite,307,0,307,152,0,,,,,,,,,,,,,,,,,,,
347,medicham,308,1,308,152,0,1.0,,,37.0,,,,,,,,,,,,,,0.0,0.0
348,electrike,309,0,309,153,0,,,,,,,,,,,,,,,,,,,
349,manectric,310,1,310,153,0,1.0,,,26.0,,,,,,,,,,,,,,0.0,0.0
350,plusle,311,0,311,154,0,,,,,,,,,,,,,,,,,,,
351,minun,312,0,312,155,0,,,,,,,,,,,,,,,,,,,
352,volbeat,313,0,313,156,0,,,,,,,,,,,,,,,,,,,
353,illumise,314,0,314,157,0,,,,,,,,,,,,,,,,,,,
354,budew,406,0,406,158,0,,,,,,,,,,,,,,,,,,,
355,roselia,315,1,315,158,0,1.0,,,,,,,day,,,160.0,,,,,,,0.0,0.0
356,roserade,407,2,407,158,0,3.0,,107.0,,,,,,,,,,,,,,,0.0,0.0
357,gulpin,316,0,316,159,0,,,,,,,,,,,,,,,,,,,
358,swalot,317,1,317,159,0,1.0,,,26.0,,,,,,,,,,,,,,0.0,0.0
359,carvanha,318,0,318,160,0,,,,,,,,,,,,,,,,,,,
360,sharpedo,319,1,319,160,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
361,wailmer,320,0,320,161,0,,,,,,,,,,,,,,,,,,,
362,wailord,321,1,321,161,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
363,numel,322,0,322,162,0,,,,,,,,,,,,,,,,,,,
364,camerupt,323,1,323,162,0,1.0,,,33.0,,,,,,,,,,,,,,0.0,0.0
365,torkoal,324,0,324,163,0,,,,,,,,,,,,,,,,,,,
366,spoink,325,0,325,164,0,,,,,,,,,,,,,,,,,,,
367,grumpig,326,1,326,164,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
368,spinda,327,0,327,165,0,,,,,,,,,,,,,,,,,,,
369,trapinch,328,0,328,166,0,,,,,,,,,,,,,,,,,,,
370,vibrava,329,1,329,166,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
371,flygon,330,2,330,166,0,1.0,,,45.0,,,,,,,,,,,,,,0.0,0.0
372,cacnea,331,0,331,167,0,,,,,,,,,,,,,,,,,,,
373,cacturne,332,1,332,167,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
374,swablu,333,0,333,168,0,,,,,,,,,,,,,,,,,,,
375,altaria,334,1,334,168,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
376,zangoose,335,0,335,169,0,,,,,,,,,,,,,,,,,,,
377,seviper,336,0,336,170,0,,,,,,,,,,,,,,,,,,,
378,lunatone,337,0,337,171,0,,,,,,,,,,,,,,,,,,,
379,solrock,338,0,338,172,0,,,,,,,,,,,,,,,,,,,
380,barboach,339,0,339,173,0,,,,,,,,,,,,,,,,,,,
381,whiscash,340,1,340,173,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
382,corphish,341,0,341,174,0,,,,,,,,,,,,,,,,,,,
383,crawdaunt,342,1,342,174,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
384,baltoy,343,0,343,175,0,,,,,,,,,,,,,,,,,,,
385,claydol,344,1,344,175,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
386,lileep,345,0,345,176,0,,,,,,,,,,,,,,,,,,,
387,cradily,346,1,346,176,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
388,anorith,347,0,347,177,0,,,,,,,,,,,,,,,,,,,
389,armaldo,348,1,348,177,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
390,feebas,349,0,349,178,0,,,,,,,,,,,,,,,,,,,
391,milotic,350,1,350,178,0,2.0,,,,,,580.0,,,,,,,,,,,0.0,0.0
392,castform,351,0,351,179,0,,,,,,,,,,,,,,,,,,,
393,castform-sunny,10013,0,351,179,0,,,,,,,,,,,,,,,,,,,
394,castform-rainy,10014,0,351,179,0,,,,,,,,,,,,,,,,,,,
395,castform-snowy,10015,0,351,179,0,,,,,,,,,,,,,,,,,,,
396,kecleon,352,0,352,180,0,,,,,,,,,,,,,,,,,,,
397,shuppet,353,0,353,181,0,,,,,,,,,,,,,,,,,,,
398,banette,354,1,354,181,0,1.0,,,37.0,,,,,,,,,,,,,,0.0,0.0
399,duskull,355,0,355,182,0,,,,,,,,,,,,,,,,,,,
400,dusclops,356,1,356,182,0,1.0,,,37.0,,,,,,,,,,,,,,0.0,0.0
401,dusknoir,477,2,477,182,0,2.0,,,,,,302.0,,,,,,,,,,,0.0,0.0
402,tropius,357,0,357,183,0,,,,,,,,,,,,,,,,,,,
403,chingling,433,0,433,184,0,,,,,,,,,,,,,,,,,,,
404,chimecho,358,1,358,184,0,1.0,,,,,,,night,,,220.0,,,,,,,0.0,0.0
405,absol,359,0,359,185,0,,,,,,,,,,,,,,,,,,,
406,snorunt,361,0,361,186,0,,,,,,,,,,,,,,,,,,,
407,glalie,362,1,362,186,1,1.0,,,42.0,,,,,,,,,,,,,,0.0,0.0
408,froslass,478,1,478,186,1,3.0,,109.0,,1.0,,,,,,,,,,,,,0.0,0.0
409,spheal,363,0,363,187,0,,,,,,,,,,,,,,,,,,,
410,sealeo,364,1,364,187,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
411,walrein,365,2,365,187,0,1.0,,,44.0,,,,,,,,,,,,,,0.0,0.0
412,clamperl,366,0,366,188,0,,,,,,,,,,,,,,,,,,,
413,huntail,367,1,367,188,1,2.0,,,,,,203.0,,,,,,,,,,,0.0,0.0
414,gorebyss,368,1,368,188,1,2.0,,,,,,204.0,,,,,,,,,,,0.0,0.0
415,relicanth,369,0,369,189,0,,,,,,,,,,,,,,,,,,,
416,luvdisc,370,0,370,190,0,,,,,,,,,,,,,,,,,,,
417,bagon,371,0,371,191,0,,,,,,,,,,,,,,,,,,,
418,shelgon,372,1,372,191,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
419,salamence,373,2,373,191,0,1.0,,,50.0,,,,,,,,,,,,,,0.0,0.0
420,beldum,374,0,374,192,0,,,,,,,,,,,,,,,,,,,
421,metang,375,1,375,192,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
422,metagross,376,2,376,192,0,1.0,,,45.0,,,,,,,,,,,,,,0.0,0.0
423,regirock,377,0,377,193,0,,,,,,,,,,,,,,,,,,,
424,regice,378,0,378,194,0,,,,,,,,,,,,,,,,,,,
425,registeel,379,0,379,195,0,,,,,,,,,,,,,,,,,,,
426,latias,380,0,380,196,0,,,,,,,,,,,,,,,,,,,
427,latios,381,0,381,197,0,,,,,,,,,,,,,,,,,,,
428,kyogre,382,0,382,198,0,,,,,,,,,,,,,,,,,,,
429,groudon,383,0,383,199,0,,,,,,,,,,,,,,,,,,,
430,rayquaza,384,0,384,200,0,,,,,,,,,,,,,,,,,,,
431,jirachi,385,0,385,201,0,,,,,,,,,,,,,,,,,,,
432,deoxys-normal,386,0,386,202,0,,,,,,,,,,,,,,,,,,,
433,deoxys-attack,10001,0,386,202,0,,,,,,,,,,,,,,,,,,,
434,deoxys-defense,10002,0,386,202,0,,,,,,,,,,,,,,,,,,,
435,deoxys-speed,10003,0,386,202,0,,,,,,,,,,,,,,,,,,,
436,turtwig,387,0,387,203,0,,,,,,,,,,,,,,,,,,,
437,grotle,388,1,388,203,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
438,torterra,389,2,389,203,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
439,chimchar,390,0,390,204,0,,,,,,,,,,,,,,,,,,,
440,monferno,391,1,391,204,0,1.0,,,14.0,,,,,,,,,,,,,,0.0,0.0
441,infernape,392,2,392,204,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
442,piplup,393,0,393,205,0,,,,,,,,,,,,,,,,,,,
443,prinplup,394,1,394,205,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
444,empoleon,395,2,395,205,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
445,starly,396,0,396,206,0,,,,,,,,,,,,,,,,,,,
446,staravia,397,1,397,206,0,1.0,,,14.0,,,,,,,,,,,,,,0.0,0.0
447,staraptor,398,2,398,206,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
448,bidoof,399,0,399,207,0,,,,,,,,,,,,,,,,,,,
449,bibarel,400,1,400,207,0,1.0,,,15.0,,,,,,,,,,,,,,0.0,0.0
450,kricketot,401,0,401,208,0,,,,,,,,,,,,,,,,,,,
451,kricketune,402,1,402,208,0,1.0,,,10.0,,,,,,,,,,,,,,0.0,0.0
452,shinx,403,0,403,209,0,,,,,,,,,,,,,,,,,,,
453,luxio,404,1,404,209,0,1.0,,,15.0,,,,,,,,,,,,,,0.0,0.0
454,luxray,405,2,405,209,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
455,cranidos,408,0,408,211,0,,,,,,,,,,,,,,,,,,,
456,rampardos,409,1,409,211,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
457,shieldon,410,0,410,212,0,,,,,,,,,,,,,,,,,,,
458,bastiodon,411,1,411,212,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
459,burmy,412,0,412,213,0,,,,,,,,,,,,,,,,,,,
460,wormadam-plant,413,1,413,213,1,1.0,,,20.0,1.0,,,,,,,,,,,,,0.0,0.0
461,wormadam-sandy,10004,1,413,213,1,1.0,,,20.0,1.0,,,,,,,,,,,,,0.0,0.0
462,wormadam-trash,10005,1,413,213,1,1.0,,,20.0,1.0,,,,,,,,,,,,,0.0,0.0
463,mothim,414,1,414,213,1,1.0,,,20.0,2.0,,,,,,,,,,,,,0.0,0.0
464,combee,415,0,415,214,0,,,,,,,,,,,,,,,,,,,
465,vespiquen,416,1,416,214,0,1.0,,,21.0,1.0,,,,,,,,,,,,,0.0,0.0
466,pachirisu,417,0,417,215,0,,,,,,,,,,,,,,,,,,,
467,buizel,418,0,418,216,0,,,,,,,,,,,,,,,,,,,
468,floatzel,419,1,419,216,0,1.0,,,26.0,,,,,,,,,,,,,,0.0,0.0
469,cherubi,420,0,420,217,0,,,,,,,,,,,,,,,,,,,
470,cherrim,421,1,421,217,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
471,shellos,422,0,422,218,0,,,,,,,,,,,,,,,,,,,
472,gastrodon,423,1,423,218,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
473,drifloon,425,0,425,219,0,,,,,,,,,,,,,,,,,,,
474,drifblim,426,1,426,219,0,1.0,,,28.0,,,,,,,,,,,,,,0.0,0.0
475,buneary,427,0,427,220,0,,,,,,,,,,,,,,,,,,,
476,lopunny,428,1,428,220,0,1.0,,,,,,,,,,160.0,,,,,,,0.0,0.0
477,glameow,431,0,431,221,0,,,,,,,,,,,,,,,,,,,
478,purugly,432,1,432,221,0,1.0,,,38.0,,,,,,,,,,,,,,0.0,0.0
479,stunky,434,0,434,223,0,,,,,,,,,,,,,,,,,,,
480,skuntank,435,1,435,223,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
481,bronzor,436,0,436,224,0,,,,,,,,,,,,,,,,,,,
482,bronzong,437,1,437,224,0,1.0,,,33.0,,,,,,,,,,,,,,0.0,0.0
483,chatot,441,0,441,228,0,,,,,,,,,,,,,,,,,,,
484,spiritomb,442,0,442,229,0,,,,,,,,,,,,,,,,,,,
485,gible,443,0,443,230,0,,,,,,,,,,,,,,,,,,,
486,gabite,444,1,444,230,0,1.0,,,24.0,,,,,,,,,,,,,,0.0,0.0
487,garchomp,445,2,445,230,0,1.0,,,48.0,,,,,,,,,,,,,,0.0,0.0
488,riolu,447,0,447,232,0,,,,,,,,,,,,,,,,,,,
489,lucario,448,1,448,232,0,1.0,,,,,,,day,,,160.0,,,,,,,0.0,0.0
490,hippopotas,449,0,449,233,0,,,,,,,,,,,,,,,,,,,
491,hippowdon,450,1,450,233,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
492,skorupi,451,0,451,234,0,,,,,,,,,,,,,,,,,,,
493,drapion,452,1,452,234,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
494,croagunk,453,0,453,235,0,,,,,,,,,,,,,,,,,,,
495,toxicroak,454,1,454,235,0,1.0,,,37.0,,,,,,,,,,,,,,0.0,0.0
496,carnivine,455,0,455,236,0,,,,,,,,,,,,,,,,,,,
497,finneon,456,0,456,237,0,,,,,,,,,,,,,,,,,,,
498,lumineon,457,1,457,237,0,1.0,,,31.0,,,,,,,,,,,,,,0.0,0.0
499,snover,459,0,459,239,0,,,,,,,,,,,,,,,,,,,
500,abomasnow,460,1,460,239,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
501,rotom,479,0,479,240,0,,,,,,,,,,,,,,,,,,,
502,rotom-heat,10008,0,479,240,0,,,,,,,,,,,,,,,,,,,
503,rotom-wash,10009,0,479,240,0,,,,,,,,,,,,,,,,,,,
504,rotom-frost,10010,0,479,240,0,,,,,,,,,,,,,,,,,,,
505,rotom-fan,10011,0,479,240,0,,,,,,,,,,,,,,,,,,,
506,rotom-mow,10012,0,479,240,0,,,,,,,,,,,,,,,,,,,
507,uxie,480,0,480,241,0,,,,,,,,,,,,,,,,,,,
508,mesprit,481,0,481,242,0,,,,,,,,,,,,,,,,,,,
509,azelf,482,0,482,243,0,,,,,,,,,,,,,,,,,,,
510,dialga,483,0,483,244,0,,,,,,,,,,,,,,,,,,,
511,dialga-origin,10245,0,483,244,0,,,,,,,,,,,,,,,,,,,
512,palkia,484,0,484,245,0,,,,,,,,,,,,,,,,,,,
513,palkia-origin,10246,0,484,245,0,,,,,,,,,,,,,,,,,,,
514,heatran,485,0,485,246,0,,,,,,,,,,,,,,,,,,,
515,regigigas,486,0,486,247,0,,,,,,,,,,,,,,,,,,,
516,giratina-altered,487,0,487,248,0,,,,,,,,,,,,,,,,,,,
517,giratina-origin,10007,0,487,248,0,,,,,,,,,,,,,,,,,,,
518,cresselia,488,0,488,249,0,,,,,,,,,,,,,,,,,,,
519,phione,489,0,489,250,0,,,,,,,,,,,,,,,,,,,
520,manaphy,490,0,490,250,0,,,,,,,,,,,,,,,,,,,
521,darkrai,491,0,491,252,0,,,,,,,,,,,,,,,,,,,
522,shaymin-land,492,0,492,253,0,,,,,,,,,,,,,,,,,,,
523,shaymin-sky,10006,0,492,253,0,,,,,,,,,,,,,,,,,,,
524,arceus,493,0,493,254,0,,,,,,,,,,,,,,,,,,,
525,victini,494,0,494,255,0,,,,,,,,,,,,,,,,,,,
526,snivy,495,0,495,256,0,,,,,,,,,,,,,,,,,,,
527,servine,496,1,496,256,0,1.0,,,17.0,,,,,,,,,,,,,,0.0,0.0
528,serperior,497,2,497,256,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
529,tepig,498,0,498,257,0,,,,,,,,,,,,,,,,,,,
530,pignite,499,1,499,257,0,1.0,,,17.0,,,,,,,,,,,,,,0.0,0.0
531,emboar,500,2,500,257,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
532,oshawott,501,0,501,258,0,,,,,,,,,,,,,,,,,,,
533,dewott,502,1,502,258,0,1.0,,,17.0,,,,,,,,,,,,,,0.0,0.0
534,samurott,503,2,503,258,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
535,samurott-hisui,10236,2,503,258,0,1.0,hisui,,36.0,,,,,,,,,,,,,,0.0,0.0
536,patrat,504,0,504,259,0,,,,,,,,,,,,,,,,,,,
537,watchog,505,1,505,259,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
538,lillipup,506,0,506,260,0,,,,,,,,,,,,,,,,,,,
539,herdier,507,1,507,260,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
540,stoutland,508,2,508,260,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
541,purrloin,509,0,509,261,0,,,,,,,,,,,,,,,,,,,
542,liepard,510,1,510,261,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
543,pansage,511,0,511,262,0,,,,,,,,,,,,,,,,,,,
544,simisage,512,1,512,262,0,3.0,,85.0,,,,,,,,,,,,,,,0.0,0.0
545,pansear,513,0,513,263,0,,,,,,,,,,,,,,,,,,,
546,simisear,514,1,514,263,0,3.0,,82.0,,,,,,,,,,,,,,,0.0,0.0
547,panpour,515,0,515,264,0,,,,,,,,,,,,,,,,,,,
548,simipour,516,1,516,264,0,3.0,,84.0,,,,,,,,,,,,,,,0.0,0.0
549,munna,517,0,517,265,0,,,,,,,,,,,,,,,,,,,
550,musharna,518,1,518,265,0,3.0,,81.0,,,,,,,,,,,,,,,0.0,0.0
551,pidove,519,0,519,266,0,,,,,,,,,,,,,,,,,,,
552,tranquill,520,1,520,266,0,1.0,,,21.0,,,,,,,,,,,,,,0.0,0.0
553,unfezant,521,2,521,266,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
554,blitzle,522,0,522,267,0,,,,,,,,,,,,,,,,,,,
555,zebstrika,523,1,523,267,0,1.0,,,27.0,,,,,,,,,,,,,,0.0,0.0
556,roggenrola,524,0,524,268,0,,,,,,,,,,,,,,,,,,,
557,boldore,525,1,525,268,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
558,gigalith,526,2,526,268,0,2.0,,,,,,,,,,,,,,,,,0.0,0.0
559,woobat,527,0,527,269,0,,,,,,,,,,,,,,,,,,,
560,swoobat,528,1,528,269,0,1.0,,,,,,,,,,160.0,,,,,,,0.0,0.0
561,drilbur,529,0,529,270,0,,,,,,,,,,,,,,,,,,,
562,excadrill,530,1,530,270,0,1.0,,,31.0,,,,,,,,,,,,,,0.0,0.0
563,audino,531,0,531,271,0,,,,,,,,,,,,,,,,,,,
564,timburr,532,0,532,272,0,,,,,,,,,,,,,,,,,,,
565,gurdurr,533,1,533,272,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
566,conkeldurr,534,2,534,272,0,2.0,,,,,,,,,,,,,,,,,0.0,0.0
567,tympole,535,0,535,273,0,,,,,,,,,,,,,,,,,,,
568,palpitoad,536,1,536,273,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
569,seismitoad,537,2,537,273,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
570,throh,538,0,538,274,0,,,,,,,,,,,,,,,,,,,
571,sawk,539,0,539,275,0,,,,,,,,,,,,,,,,,,,
572,sewaddle,540,0,540,276,0,,,,,,,,,,,,,,,,,,,
573,swadloon,541,1,541,276,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
574,leavanny,542,2,542,276,0,1.0,,,,,,,,,,220.0,,,,,,,0.0,0.0
575,venipede,543,0,543,277,0,,,,,,,,,,,,,,,,,,,
576,whirlipede,544,1,544,277,0,1.0,,,22.0,,,,,,,,,,,,,,0.0,0.0
577,scolipede,545,2,545,277,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
578,cottonee,546,0,546,278,0,,,,,,,,,,,,,,,,,,,
579,whimsicott,547,1,547,278,0,3.0,,80.0,,,,,,,,,,,,,,,0.0,0.0
580,petilil,548,0,548,279,0,,,,,,,,,,,,,,,,,,,
581,lilligant,549,1,549,279,0,3.0,,80.0,,,,,,,,,,,,,,,0.0,0.0
582,lilligant-hisui,10237,1,549,279,0,3.0,hisui,80.0,,,,,,,,,,,,,,,0.0,0.0
583,basculin-red-striped,550,0,550,280,0,,,,,,,,,,,,,,,,,,,
584,basculin-blue-striped,10016,0,550,280,0,,,,,,,,,,,,,,,,,,,
585,sandile,551,0,551,281,0,,,,,,,,,,,,,,,,,,,
586,krokorok,552,1,552,281,0,1.0,,,29.0,,,,,,,,,,,,,,0.0,0.0
587,krookodile,553,2,553,281,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
588,darumaka,554,0,554,282,0,,,,,,,,,,,,,,,,,,,
589,darmanitan-standard,555,1,555,282,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
590,darmanitan-zen,10017,1,555,282,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
591,maractus,556,0,556,283,0,,,,,,,,,,,,,,,,,,,
592,dwebble,557,0,557,284,0,,,,,,,,,,,,,,,,,,,
593,crustle,558,1,558,284,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
594,scraggy,559,0,559,285,0,,,,,,,,,,,,,,,,,,,
595,scrafty,560,1,560,285,0,1.0,,,39.0,,,,,,,,,,,,,,0.0,0.0
596,sigilyph,561,0,561,286,0,,,,,,,,,,,,,,,,,,,
597,yamask,562,0,562,287,0,,,,,,,,,,,,,,,,,,,
598,cofagrigus,563,1,563,287,1,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
599,tirtouga,564,0,564,288,0,,,,,,,,,,,,,,,,,,,
600,carracosta,565,1,565,288,0,1.0,,,37.0,,,,,,,,,,,,,,0.0,0.0
601,archen,566,0,566,289,0,,,,,,,,,,,,,,,,,,,
602,archeops,567,1,567,289,0,1.0,,,37.0,,,,,,,,,,,,,,0.0,0.0
603,trubbish,568,0,568,290,0,,,,,,,,,,,,,,,,,,,
604,garbodor,569,1,569,290,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
605,zorua,570,0,570,291,0,,,,,,,,,,,,,,,,,,,
606,zoroark,571,1,571,291,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
607,minccino,572,0,572,292,0,,,,,,,,,,,,,,,,,,,
608,cinccino,573,1,573,292,0,3.0,,107.0,,,,,,,,,,,,,,,0.0,0.0
609,gothita,574,0,574,293,0,,,,,,,,,,,,,,,,,,,
610,gothorita,575,1,575,293,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
611,gothitelle,576,2,576,293,0,1.0,,,41.0,,,,,,,,,,,,,,0.0,0.0
612,solosis,577,0,577,294,0,,,,,,,,,,,,,,,,,,,
613,duosion,578,1,578,294,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
614,reuniclus,579,2,579,294,0,1.0,,,41.0,,,,,,,,,,,,,,0.0,0.0
615,ducklett,580,0,580,295,0,,,,,,,,,,,,,,,,,,,
616,swanna,581,1,581,295,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
617,vanillite,582,0,582,296,0,,,,,,,,,,,,,,,,,,,
618,vanillish,583,1,583,296,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
619,vanilluxe,584,2,584,296,0,1.0,,,47.0,,,,,,,,,,,,,,0.0,0.0
620,deerling,585,0,585,297,0,,,,,,,,,,,,,,,,,,,
621,sawsbuck,586,1,586,297,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
622,emolga,587,0,587,298,0,,,,,,,,,,,,,,,,,,,
623,karrablast,588,0,588,299,0,,,,,,,,,,,,,,,,,,,
624,escavalier,589,1,589,299,0,2.0,,,,,,,,,,,,,,,,616.0,0.0,0.0
625,foongus,590,0,590,300,0,,,,,,,,,,,,,,,,,,,
626,amoonguss,591,1,591,300,0,1.0,,,39.0,,,,,,,,,,,,,,0.0,0.0
627,frillish,592,0,592,301,0,,,,,,,,,,,,,,,,,,,
628,jellicent,593,1,593,301,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
629,alomomola,594,0,594,302,0,,,,,,,,,,,,,,,,,,,
630,joltik,595,0,595,303,0,,,,,,,,,,,,,,,,,,,
631,galvantula,596,1,596,303,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
632,ferroseed,597,0,597,304,0,,,,,,,,,,,,,,,,,,,
633,ferrothorn,598,1,598,304,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
634,klink,599,0,599,305,0,,,,,,,,,,,,,,,,,,,
635,klang,600,1,600,305,0,1.0,,,38.0,,,,,,,,,,,,,,0.0,0.0
636,klinklang,601,2,601,305,0,1.0,,,49.0,,,,,,,,,,,,,,0.0,0.0
637,tynamo,602,0,602,306,0,,,,,,,,,,,,,,,,,,,
638,eelektrik,603,1,603,306,0,1.0,,,39.0,,,,,,,,,,,,,,0.0,0.0
639,eelektross,604,2,604,306,0,3.0,,83.0,,,,,,,,,,,,,,,0.0,0.0
640,elgyem,605,0,605,307,0,,,,,,,,,,,,,,,,,,,
641,beheeyem,606,1,606,307,0,1.0,,,42.0,,,,,,,,,,,,,,0.0,0.0
642,litwick,607,0,607,308,0,,,,,,,,,,,,,,,,,,,
643,lampent,608,1,608,308,0,1.0,,,41.0,,,,,,,,,,,,,,0.0,0.0
644,chandelure,609,2,609,308,0,3.0,,108.0,,,,,,,,,,,,,,,0.0,0.0
645,axew,610,0,610,309,0,,,,,,,,,,,,,,,,,,,
646,fraxure,611,1,611,309,0,1.0,,,38.0,,,,,,,,,,,,,,0.0,0.0
647,haxorus,612,2,612,309,0,1.0,,,48.0,,,,,,,,,,,,,,0.0,0.0
648,cubchoo,613,0,613,310,0,,,,,,,,,,,,,,,,,,,
649,beartic,614,1,614,310,0,1.0,,,37.0,,,,,,,,,,,,,,0.0,0.0
650,cryogonal,615,0,615,311,0,,,,,,,,,,,,,,,,,,,
651,shelmet,616,0,616,312,0,,,,,,,,,,,,,,,,,,,
652,accelgor,617,1,617,312,0,2.0,,,,,,,,,,,,,,,,588.0,0.0,0.0
